id,anchor_mm,recon_bandwidth_khz,frequency_jitter_percent,best_hasa_f1,best_hasa_precision,best_hasa_recall,best_hasa_threshold,status
rescue_depth52_bw60_jitter2,52:0:0,60,2,0.5059797608095675,0.33866995073891626,1.0,0.49,skipped_existing
rescue_depth52_bw80_jitter4,52:0:0,80,4,0.5379557680812911,0.37344398340248963,0.9615384615384616,0.59,skipped_existing
rescue_depth62_bw60_jitter2,62:0:0,60,2,0.3732108146315603,0.23940149625935161,0.8461538461538461,0.57,skipped_existing
rescue_depth62_bw80_jitter4,62:0:0,80,4,0.40334543159223607,0.2845691382765531,0.6923076923076923,0.67,success
rescue_y_p9_bw60_jitter2,42:9:0,60,2,0.4495526618832492,0.29335260115606937,0.9615384615384616,0.52,success
rescue_y_p9_bw80_jitter4,42:9:0,80,4,0.49367088607594933,0.35546875,0.8076923076923077,0.67,success
rescue_y_p18_bw60_jitter2,42:18:0,60,2,0.5451230628988148,0.3939393939393939,0.8846153846153846,0.68,success
rescue_y_p18_bw80_jitter4,42:18:0,80,4,0.43704474505723206,0.30523255813953487,0.7692307692307693,0.65,success
rescue_diag_p12_m12_bw60_jitter2,42:12:-12,60,2,0.4706158357771261,0.367601246105919,0.6538461538461539,0.75,success
rescue_diag_p12_m12_bw80_jitter4,42:12:-12,80,4,0.5240336613892455,0.3795454545454545,0.8461538461538461,0.74,success
rescue_diag_p12_p12_bw60_jitter2,42:12:12,60,2,0.48888888888888893,0.4055299539170507,0.6153846153846154,0.77,success
rescue_diag_p12_p12_bw80_jitter4,42:12:12,80,4,0.4963235294117646,0.43548387096774194,0.5769230769230769,0.79,success
